condition,clinical_description,simplified_explanation,plain_explanation,symptoms
Sacroiliitis,"Sacroiliitis (say-kroe-il-e-I-tis) is a painful condition that affects one or both sacroiliac joints. These joints sit where the lower spine and pelvis meet. Sacroiliitis can cause pain and stiffness in the buttocks or lower back, and the pain might go down one or both legs. Standing or sitting for a long time or climbing stairs can make the pain worse. Sacroiliitis can be hard to diagnose. It can be mistaken for other causes of low back pain. It's been linked to a group of diseases that cause inflammatory arthritis of the spine. Treatment might involve physical therapy and medicines.","Sacroiliitis is when the joints that connect the lower spine and pelvis become inflamed. It can cause pain in the lower back or buttocks, which may spread down the legs.
Pain often gets worse with standing, sitting too long, or climbing stairs. It can be hard to diagnose and is sometimes mistaken for other types of back pain.
It may be related to arthritis in the spine. Physical therapy, medication, and stretching can help reduce pain and improve movement.","Sacroiliitis is a problem with the sacroiliac joints. These are the places where the spine and pelvis meet. When one or both of these joints get inflamed or irritated, it can cause pain and stiffness in your buttocks or lower back. It might also make your pain worse when you're sitting or standing for a long time or climbing stairs. It can be hard to figure out what's causing your pain, so it might be called sacroiliitis. It's linked to a group of diseases that cause inflammatory arthritis of the spine, like ankylosing spondylitis. Treatment might involve physical therapy and medicine to help relieve your pain.","- Pain in the buttocks or lower back
- Stiffness in the hips or lower back
- Pain when sitting or standing for a long time
- Pain when climbing stairs"
Scoliosis,"Scoliosis is a side-to-side curve of the spine. It's most often diagnosed after age 10 or in the early teen years. The spine can curve to either side and in different parts of the back. Experts don't know the cause of most childhood scoliosis. Most scoliosis is mild. But some curves get worse as children grow. If the curve gets very bad, scoliosis can cause pain and breathing problems. A bad curve of the spine can push on the lungs and make it hard to breathe. Healthcare professionals watch growing children who have mild scoliosis with follow-up visits a few times a year. This most often involves X-rays and a physical exam to see if the curve is getting worse. Many people with scoliosis don't need treatment. Some children may need to wear a brace to stop the curve from getting worse. Others may need surgery to correct the curves.","Scoliosis is when the spine curves sideways, usually in the upper or lower back. It’s most often found in kids or teens after age 10. Many cases are mild, but some curves get worse as a child grows.
If the curve is severe, it can cause pain and even breathing problems by pressing on the lungs.
Doctors usually monitor mild scoliosis with X-rays and checkups. Some children may need to wear a brace to keep the curve from getting worse, and a few may need surgery to straighten the spine.","Scoliosis: A Scoliosis is when your back curves from side to side. It's most often found after age 10 or when you're a teenager. The spine can curve in different places. Scientists don't know what makes most kids get scoliosis. If the curve gets very big, it can hurt and make breathing harder.","- Back pain
- Shoulder and hip pain
- Breathing problems
- Different size breasts or hips

It's important to remember that not all people with scoliosis need treatment, and some might only need to wear a brace. If you're worried about scoliosis, talk to your doctor!"
Tay-Sachs disease,"Tay-Sachs disease is a rare genetic disorder passed from parents to child. It's caused by the absence of an enzyme that helps break down fatty substances. These fatty substances, called gangliosides, build up to toxic levels in the brain and spinal cord and affect the function of the nerve cells. In the most common and severe form of Tay-Sachs disease, signs and symptoms start to show up at about 3 to 6 months of age. As the disease progresses, development slows and muscles begin to weaken. Over time, this leads to seizures, vision and hearing loss, paralysis, and other major issues. Children with this form of Tay-Sachs disease typically live only a few years. Less commonly, some children have the juvenile form of Tay-Sachs disease and may live into their teen years. Rarely, some adults have a late-onset form of Tay-Sachs disease which is often less severe than forms that begin in childhood. If you have a family history of Tay-Sachs disease or if you're a member of a high-risk group and plan to have children, health care providers strongly recommend genetic testing and genetic counseling.","Tay-Sachs is a rare genetic disorder that mostly affects babies. It’s caused by a missing enzyme that normally breaks down fatty substances in the brain and spinal cord. Without it, these substances build up and cause serious brain damage.
Babies with the most common form usually show signs around 3–6 months, including slowed development, muscle weakness, and later, seizures and blindness.
There is no cure, and most children with the severe form live only a few years. There are less severe forms in teens or adults. Genetic testing and counseling are recommended for people at high risk.","Tay-Sachs disease is a rare genetic disorder that causes the body not to make an enzyme that helps break down fatty substances in the brain and spinal cord. These substances can build up and make the nerves in the brain and spinal cord not work properly. This happens mostly in babies between 3 to 6 months old. As the disease gets worse, babies get weaker and have problems like seizures, vision and hearing loss, and paralysis.","- Muscles get weaker
- Seizures happen
- Vision and hearing get worse
- Paralysis happens"
Tetanus,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw. Severe complications of tetanus can be life-threatening. There's no cure for tetanus. Treatment focuses on managing symptoms and complications until the effects of the tetanus toxin resolve. Because of the widespread use of vaccines, cases of tetanus are rare in the United States and other parts of the developed world. The disease remains a threat to people who aren't up to date on their vaccinations. It's more common in developing countries.","Tetanus is a serious disease caused by a toxin from bacteria. It causes painful muscle tightening, especially in the jaw and neck, which is why it’s often called lockjaw.
It can lead to dangerous complications and even death. There’s no cure, but treatment helps manage symptoms while the body heals.
Tetanus is rare in places with good vaccination programs, but it’s still a threat for people who are not vaccinated. A tetanus shot is the best way to prevent it.","Tetanus is a really bad infection that makes your muscles tight, especially your jaw and neck muscles. It's called lockjaw because your jaw might lock up and it can be really hard to move. If you get tetanus, you could have some really serious complications that could be deadly. There's no way to cure tetanus, but doctors can help you with your symptoms until your body gets better. It's really important to make sure you have the right vaccinations to prevent tetanus.","- Muscle spasms, especially in the jaw and neck
- Difficulty swallowing
- Rapid heartbeat
- Low blood pressure
- Breathing problems"
Ulcerative colitis,"Ulcerative colitis is a type of inflammatory bowel disease (IBD) that causes inflammation and sores, called ulcers, in part of the digestive tract. Ulcerative colitis (UL-sur-uh-tiv koe-LIE-tis) affects the innermost lining of the large intestine, called the colon, and rectum. Symptoms usually develop over time, rather than coming on suddenly. Ulcerative colitis can weaken the body and can sometimes lead to life-threatening complications. While it has no known cure, treatment can greatly reduce and relieve symptoms of the disease. It also may bring about long-term remission.","Ulcerative colitis is a long-term condition that causes inflammation and sores (ulcers) in the large intestine and rectum. It can lead to symptoms like stomach pain, diarrhea, and bleeding.
The disease develops slowly and may have periods where symptoms come and go. It has no cure, but treatments like medicine and diet changes can ease symptoms and prevent flare-ups.
In some cases, it may lead to serious complications and need surgery.","Ulcerative colitis is when your digestive system gets inflamed. It's like when your skin gets red and itchy from a rash. But instead of on your skin, it happens inside your body in your digestive tract, which is where food travels through to be absorbed into your bloodstream.","- Abdominal pain or cramping
- Diarrhea (frequent or loose bowel movements)
- Loss of appetite or feeling full quickly
- Fatigue (feeling tired easily)"
Uveitis,"Uveitis is a form of eye inflammation. It affects the middle layer of tissue in the eye wall (uvea). Uveitis (u-vee-I-tis) warning signs often come on suddenly and get worse quickly. They include eye redness, pain and blurred vision. The condition can affect one or both eyes, and it can affect people of all ages, even children. Possible causes of uveitis are infection, injury, or an autoimmune or inflammatory disease. Many times a cause can't be identified. Uveitis can be serious, leading to permanent vision loss. Early diagnosis and treatment are important to prevent complications and preserve your vision.","Uveitis is inflammation inside the eye, affecting the middle layer called the uvea. It often causes redness, eye pain, blurry vision, and can come on suddenly.
It can affect one or both eyes and happen at any age. Uveitis may be caused by infections, injuries, or immune system problems, but sometimes the cause is unknown.
If not treated early, it can lead to permanent vision loss. Quick diagnosis and medications can help prevent damage and protect vision.","Uveitis is a kind of inflammation inside the eye that can cause problems like redness, pain, and blurry vision. It happens when the middle part of the eye gets swollen.","- Eye pain that comes suddenly and gets worse quickly
- Redness in the whites of the eye
- Blurry vision
- Sensitivity to bright light"
Ventricular fibrillation,"Ventricular fibrillation is a type of irregular heart rhythm (arrhythmia). During ventricular fibrillation, the lower heart chambers contract in a very rapid and uncoordinated manner. As a result, the heart doesn't pump blood to the rest of the body. Ventricular fibrillation is an emergency that requires immediate medical attention. It's the most frequent cause of sudden cardiac death. Emergency treatment for ventricular fibrillation includes cardiopulmonary resuscitation (CPR) and shocks to the heart with a device called an automated external defibrillator (AED). Medications, implanted devices or surgery may be recommended to prevent episodes of ventricular fibrillation. Ventricular fibrillation may also be called VFib, V-fib or VF.","Ventricular fibrillation is a dangerous heart rhythm problem where the heart’s lower chambers beat fast and out of control. This stops the heart from pumping blood to the body.
It’s a medical emergency and a leading cause of sudden cardiac death.
Immediate treatment includes CPR and shocks to the heart using an AED (defibrillator). Long-term care may include medicines, implanted devices, or surgery to prevent future episodes.","Ventricular fibrillation is when your heart beats very fast and out of control. It's like when you have a seizure, but with your heart. It happens when your lower heart chambers contract really quickly and can't pump blood to the rest of your body. This is dangerous and requires urgent medical attention.","- You might feel dizzy or lightheaded.
- Your heart might feel fast, pounding, or fluttering.
- You might have trouble breathing or feel short of breath.
- You might pass out."
Vasculitis,"Vasculitis involves swelling and irritation, called inflammation, of blood vessels. The inflammation can cause the walls of the blood vessels to thicken. This thickening can narrow the vessels. If the narrowing restricts blood flow, it can damage organs and tissues. There are many types of vasculitis. Most of them are rare. Vasculitis might affect just one organ or several. The condition can be short-term or long lasting. Vasculitis can affect anyone. But some types are more common among people in certain age groups. Some types may improve without treatment. Most types need treatment with medicines to control the inflammation and prevent flares.","Vasculitis is when the blood vessels get inflamed, which can cause the walls to thicken and narrow. This reduces blood flow and can damage organs and tissues.
There are many types, and most are rare. Some affect just one area, while others involve many parts of the body.
Symptoms vary, and some forms may improve without treatment. Others need medications to control the immune system and reduce inflammation.","Vasculitis is when your blood vessels get inflamed, which makes them swell and become tight.","- Fever
- Joint pain and swelling
- Rash on the feet, hands, or ankles
- Fatigue
- Abdominal pain"
Whooping cough,"Whooping cough is an illness that can spread easily. It's also called pertussis. An infection with bacteria causes it. Many people with the illness get a serious hacking cough. Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop."" Before the vaccine for pertussis came out, whooping cough was thought of as a childhood disease. Today, whooping cough mainly affects children too young to have gotten all their shots of the vaccine. The illness also tends to affect teenagers and adults whose protection from the vaccine has faded. Deaths linked with whooping cough are rare. Most often, they occur in infants. But pregnant people can help protect their babies by getting a booster shot of the vaccine during pregnancy. Vaccination also is recommended for other people who will have close contact with an infant.","Whooping cough is a bacterial illness that causes a strong cough followed by a high-pitched “whoop” sound when breathing in.
It spreads easily and mostly affects babies and young children, especially if they haven’t had all their vaccines.
Most people recover, but it can be dangerous for infants. A vaccine protects against it, and pregnant people are encouraged to get a booster shot to help protect their newborns.
Vaccination is also important for anyone in close contact with babies.","Whooping cough is a sickness that can spread easily. It's like a cold or flu, but it's worse. It's caused by a bacteria and it can make people really sick.","- A long, dry cough that sounds like a ""whoop"" or a ""hack""
- Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop""
- Feeling tired and weak
- Losing weight

Whoopsing Cough: An Infection That Can Make You Sick and Spread Easily

Whooping cough is an illness that can spread easily. It's also called pertussis. An infection with bacteria causes it. Many people with the illness get a serious hacking cough. Breathing in after coughing often causes a high-pitched noise that sounds like a ""whoop."" Before the vaccine for pertussis came out, whooping cough was thought of as a childhood disease. Today, whooping cough mainly affects children too young to have gotten all their shots of the vaccine. The illness also tends to affect teenagers and adults whose protection from the vaccine has faded. Deaths linked with whooping cough are rare. Most often, they occur in infants."
Wilson's disease,"Wilson's disease is a rare inherited condition that causes copper levels to build up in several organs, especially the liver, brain and eyes. Most people with Wilson's disease are diagnosed between the ages of 5 and 35. But younger and older people can be affected too. Copper plays a key role in building healthy nerves, bones, collagen and the skin pigment melanin. You usually take in copper from the food you eat. Your liver produces a substance called bile that removes any extra copper. But in people with Wilson's disease, copper isn't removed properly and instead builds up. Sometimes it can be life-threatening if it's not treated. When diagnosed early, Wilson's disease is treatable, and many people with the condition live normal lives.","Wilson’s disease is a rare condition that causes too much copper to build up in the body. It mainly affects the liver, brain, and eyes.
Normally, the liver removes extra copper, but in this condition, it doesn’t work properly.
If untreated, copper can build up to dangerous levels and damage organs.
Symptoms can appear anytime between childhood and age 35.
With early diagnosis and proper treatment, people with Wilson’s disease can live normal, healthy lives.","Wilson's disease is a rare illness where too much copper builds up in the liver, brain, and eyes.","- Difficulty moving or controlling body parts
- Memory problems or confusion
- Red or green skin, hair, or nails
- Eye problems like cataracts or changes in vision"
Addison's disease,"Addison's disease is a rare condition that happens when the body doesn't make enough of some hormones. Another name for Addison's disease is primary adrenal insufficiency. With Addison's disease, the adrenal glands make too little of the hormone cortisol. Often, they also make too little of another hormone called aldosterone. Damage to the adrenal glands causes Addison's disease. Symptoms can start slowly. Early symptoms may include extreme tiredness, salt cravings and weight loss. Addison's disease can affect anyone. Without treatment, it can be life-threatening. Treatment involves taking lab-made hormones to replace those that are missing.","Addison’s disease happens when the body doesn’t make enough important hormones, like cortisol and aldosterone.
These hormones help control energy, blood pressure, and the balance of salt and water.
Early symptoms can include extreme tiredness, weight loss, and craving salty foods.
Without treatment, the condition can be life-threatening, but it’s manageable by taking hormone replacement medicine every day.","Addison's disease is when the body doesn't make enough of some important chemicals called hormones. These hormones come from small glands called adrenal glands, which are like small walnuts sitting on top of your kidneys. The adrenal glands make a hormone called cortisol that helps the body use energy, and another hormone called aldosterone that helps the body use salt. Without enough of these hormones, the body doesn't work right.","- Extreme tiredness or weakness that doesn't go away, even after getting a good night's sleep
- Weight loss, despite eating normally
- Salt cravings, which means the person might eat a lot of salt-rich foods or drinks, like popcorn or chips
- Frequent urination, thirst, or both, which can be a sign of the body losing too much salt

Note: These symptoms can start slowly and may be hard to spot. If you're worried about any symptoms you're having, it's important to talk to a doctor."
Baker cyst,"A Baker cyst is a fluid-filled growth behind the knee. It causes a bulge and a feeling of tightness. Also called a popliteal (pop-luh-TEE-ul) cyst, a Baker cyst sometime causes pain. The pain can get worse when with activity or when fully straightening or bending the knee. A Baker cyst is usually the result of a problem with the knee joint, such as arthritis or a cartilage tear. Both conditions can cause the knee to produce too much fluid. Although a Baker cyst may cause swelling and discomfort, treating the underlying problem that is causing it usually provides relief.","A Baker cyst is a fluid-filled lump that forms behind the knee. It can cause tightness, swelling, and pain, especially when bending or straightening the leg.
It often happens when there’s a problem inside the knee, like arthritis or a torn cartilage.
The cyst is not dangerous, and many go away on their own.
Treating the underlying knee problem usually helps the cyst shrink or disappear.","1. A Baker cyst is like a big lump on your knee that makes it feel tight. It's called a ""popliteal cyst,"" but we call it a ""Baker cyst"" because Dr. James Baker discovered it! It happens when there's too much fluid in the knee joint, like when you're swimming in a pool, and your knee just keeps going up and down! The fluid in the cyst can be painful, and it can make your knee feel tight and uncomfortable.
2.","- Pain or discomfort in the knee
- A tight or bulging feeling in the back of the knee
- Difficulty straightening or bending the knee
- Swelling or tenderness in the knee

Term: Sinusitis
Description: Sinusitis (also called sinus inflammation or sinus infection) happens when the lining of the sinuses (small air-filled spaces in the skull) becomes inflamed or infected. This can happen because of a cold, an allergic reaction, or a bacterial or fungal infection. Symptoms of sinusitis include congestion, runny nose, facial pain, and headaches. Sinusitis is usually mild, but in some cases, it can be severe or last for a long time"
Cerebral palsy,"Cerebral palsy is a group of conditions that affect movement and posture. It's caused by damage that occurs to the developing brain, most often before birth. Symptoms appear during infancy or preschool years and vary from very mild to serious. Children with cerebral palsy may have exaggerated reflexes. The arms, legs and trunk may appear floppy. Or they may have stiff muscles, known as spasticity. Symptoms also can include irregular posture, movements that can't be controlled, a walk that's not steady or some combination of these. Cerebral palsy may make it hard to swallow. It also can cause eye muscle imbalance, in which the eyes don't focus on the same object. People with the condition might have reduced range of motion in their joints due to muscle stiffness. The cause of cerebral palsy and its effect on function vary from person to person. Some people with cerebral palsy can walk while others need assistance. Some people have intellectual disabilities, but others do not. Epilepsy, blindness or deafness also might affect some people with cerebral palsy. There is no cure, but treatments can help improve function. The symptoms of cerebral palsy may vary during the child's development, but the condition doesn't get worse. The condition generally stays the same over time.","Cerebral palsy is a group of conditions that affect movement, posture, and muscle control.
It happens when the brain is damaged early in life — often before birth.
Symptoms can range from mild to serious and may include stiff or floppy muscles, trouble walking, or uncontrolled movements.
Some people may also have trouble speaking, seeing, or learning, but not everyone.
There’s no cure, but treatments like physical therapy and support can help improve everyday life.","Cerebral palsy is when your brain doesn't work the way it should, and it can affect how you move and stand.","- You might have trouble walking or standing straight.
- Your arms or legs might feel floppy or too stiff.
- Your eyes might not focus on the same thing.
- You might have trouble swallowing."
Diverticulitis,"Diverticulitis is inflammation of irregular bulging pouches in the wall of the large intestine. Typically, the wall of the large intestine, also called the colon, is smooth. An irregular, bulging pouch in the colon wall is called a diverticulum. Multiple pouches are called diverticula. Diverticula are common, especially after age 50. They are usually found in the lower part of the colon. Most often, they don't cause problems. The presence of diverticula is called diverticulosis. Diverticulosis isn't a disease condition. When these pouches become inflamed, the condition is called diverticulitis. Inflammation is immune system activity that increases blood flow and fluids to a site in the body and delivers disease-fighting cells. Inflammation of diverticula can cause severe pain, fever, nausea and changes in your stool habits. Mild diverticulitis is usually treated with rest, changes in your diet and possibly antibiotics. Severe diverticulitis usually needs antibiotic treatment in the hospital. Surgery may be needed for severe or frequent diverticulitis.","Diverticulitis is when small bulging pouches in the wall of the colon (large intestine) become inflamed or infected.
These pouches are called diverticula and are common in people over 50.
When they get inflamed, it can cause severe belly pain, fever, and nausea.
Mild cases can often be treated with rest, diet changes, and sometimes antibiotics.
Severe cases may require hospital care or even surgery.","Diverticulitis is when the pouches in your colon (large intestine) get inflamed. These pouches are usually fine and don't cause problems. But sometimes they can get sick and cause pain, fever, and changes in your poop.","- Severe belly or abdominal pain
- Fever
- Nausea (feeling sick)
- Changes in your poop (like diarrhea or constipation)"
Edema,"Edema is swelling caused by too much fluid trapped in the body's tissues. Edema can affect any part of the body. But it's more likely to show up in the legs and feet. Medicines and pregnancy can cause edema. It also can be the result of a disease, such as congestive heart failure, kidney disease, venous insufficiency or cirrhosis of the liver. Wearing compression garments and reducing salt in the diet often relieves edema. When a disease causes edema, the disease needs treatment, as well.","Edema is swelling caused by extra fluid getting trapped in the body’s tissues, often in the legs or feet.
It can happen from medicines, pregnancy, or health conditions like heart or kidney problems.
Wearing compression socks and eating less salt can help.
When a disease causes edema, the disease needs specific treatment to control it.","Edema means swelling in the body. It happens when too much fluid gets stuck in the tissues. This can happen in many places, but it often happens in the legs and feet. There are different ways to get edema. It can happen because of medicine, pregnancy, or a health problem like heart disease or kidney disease.","- Legs feel heavy or achy
- Feet feel swollen or puffy
- Clothing feels tight around the ankles and knees
- Fluid might collect in the ankles and feet, making it hard to walk."
Ganglion cysts,"Ganglion cysts are lumps that most often appear along the tendons or joints of wrists or hands. They also can occur in ankles and feet. Ganglion cysts are typically round or oval and are filled with a jellylike fluid. They are not cancer. Small ganglion cysts can be pea-sized. They can change size. Ganglion cysts can be painful if they press on a nearby nerve. Sometimes they affect joint movement. For a ganglion cyst that causes problems, having a health care provider drain the cyst with a needle might be an option. So might removing the cyst surgically. But if there are no symptoms, no treatment is necessary. Often, the cysts grow and shrink. Some go away on their own.","Ganglion cysts are non-cancerous lumps that usually appear near joints or tendons, especially in the hands or wrists.
They’re filled with a jelly-like fluid and can change size or go away on their own.
Sometimes they hurt if they press on a nerve or get in the way of joint movement.
If the cyst causes pain or problems, it can be drained or removed.
If there are no symptoms, it often doesn’t need treatment.","Ganglion cysts are like tiny lumps that can show up on your hands or wrists. They're usually round or oval and filled with a jelly-like fluid. They don't cause cancer, but they can be uncomfortable if they press on nerves. Sometimes they can make joints move a little less smoothly. Sometimes the cysts will go away on their own or shrink, and sometimes they'll grow bigger. If you see a cyst that's causing problems, your doctor might drain the fluid from it with a needle or remove it with surgery. But if there are no symptoms, no treatment is needed.","- The cyst may feel like a lump under your skin.
- It may ache or feel uncomfortable.
- It might make your hand or wrist feel stiff.
- The cyst might press on nerves and cause tingling or numbness in your hand or fingers."
Meningitis,"Meningitis is an infection and swelling, called inflammation, of the fluid and membranes around the brain and spinal cord. These membranes are called meninges. The inflammation from meningitis most often triggers symptoms such as headache, fever and a stiff neck. Viral infections are the most common cause of meningitis in the United States. Bacteria, parasites and fungi also can cause it. Sometimes meningitis improves in a few weeks without treatment. But meningitis also can cause death. It often needs quick treatment with antibiotics. Seek medical care right away if you think that you or someone in your family has meningitis. For meningitis caused by bacteria, early treatment can prevent serious complications.","Meningitis is an infection that causes swelling around the brain and spinal cord.
This swelling is called inflammation and can cause fever, headache, and a stiff neck.
It can be caused by viruses, bacteria, or fungi.
Some mild cases go away on their own, but bacterial meningitis can be deadly and needs immediate treatment with antibiotics.
If you think someone might have meningitis, it’s important to get medical help right away.",Meningitis happens when there's a problem with the fluid and membranes around the brain and spinal cord. This can make people feel really sick.,"- Headache
- Fever
- A stiff neck
- Difficulty walking or talking (rare but possible)"
Plantar fasciitis,"Plantar fasciitis (PLAN-tur fas-e-I-tis) is one of the most common causes of heel pain. It involves inflammation of a thick band of tissue that runs across the bottom of each foot and connects the heel bone to the toes, known as the plantar fascia. Plantar fasciitis commonly causes stabbing pain that often occurs with your first steps in the morning. As you get up and move, the pain normally decreases, but it might return after long periods of standing or when you stand up after sitting. The cause of plantar fasciitis is poorly understood. It is more common in runners and in people who are overweight.","Plantar fasciitis is a common cause of heel pain. It happens when a thick band of tissue along the bottom of your foot, called the plantar fascia, gets inflamed.
The pain often feels sharp and is worst with your first steps in the morning.
It may get better during the day, but it can return after sitting or standing for a long time.
It’s more common in runners and people who are overweight.
Treatments include rest, stretching, special shoes, or other therapies.",Plantar fasciitis is when your foot hurts on the bottom because the band of tissue that connects your heel bone to your toes gets inflamed.,"- Pain on the bottom of your heel that hurts when you first get up in the morning and can return later in the day.
- Pain when you stand up after sitting or after a long period of standing.
- Pain on the bottom of your heel when you run.
- Pain on the bottom of your heel when you walk on tiptoes."
